disease_name,symptoms,source,symptoms,processed_symptoms,named_entities
acoustic neuroma,"Partial or total hearing loss in one ear Numbness, weakness, or twitching on one side of your face Ringing in your ear Dizziness, poor balance, or trouble walking Full feeling or pain in your ear Headaches or trouble chewing",drugs-com,"partial or total hearing loss in one ear numbness, weakness, or twitching on one side of your face ringing in your ear dizziness, poor balance, or trouble walking full feeling or pain in your ear headaches or trouble chewing",partial total hear loss ear numbness weakness twitching face ring ear dizziness poor balance trouble walk feeling pain ear headache trouble chew,"['partial', 'total hearing loss', 'ear numbness', 'weakness', 'twitching', 'ear dizziness', 'poor balance', 'walking full feeling', 'pain', 'ear headaches', 'chewing']"
acquired hypothyroidism in children,"The signs and symptoms of acquired hypothyroidism may be different depending on your child's age. Early signs and symptoms:
Bulging soft mass in the belly
Coarse or dull-looking facial features
Delay or failure in growth and development
Dry, flaky skin or brittle fingernails
Hoarseness and a large tongue Bulging soft mass in the belly Coarse or dull-looking facial features Delay or failure in growth and development Dry, flaky skin or brittle fingernails Hoarseness and a large tongue Later signs and symptoms:
Depression, fatigue, or irritability
Sensitivity to cold
Learning, speech, or behavior problems
Constipation
Delay in sexual development
Swelling of his or her whole body, very slow heartbeat, and trouble breathing Depression, fatigue, or irritability Sensitivity to cold Learning, speech, or behavior problems Constipation Delay in sexual development Swelling of his or her whole body, very slow heartbeat, and trouble breathing",drugs-com,"the signs and symptoms of acquired hypothyroidism may be different depending on your child's age. early signs and symptoms:
bulging soft mass in the belly
coarse or dull-looking facial features
delay or failure in growth and development
dry, flaky skin or brittle fingernails
hoarseness and a large tongue bulging soft mass in the belly coarse or dull-looking facial features delay or failure in growth and development dry, flaky skin or brittle fingernails hoarseness and a large tongue later signs and symptoms:
depression, fatigue, or irritability
sensitivity to cold
learning, speech, or behavior problems
constipation
delay in sexual development
swelling of his or her whole body, very slow heartbeat, and trouble breathing depression, fatigue, or irritability sensitivity to cold learning, speech, or behavior problems constipation delay in sexual development swelling of his or her whole body, very slow heartbeat, and trouble breathing","sign symptom acquire hypothyroidism different depend child age early sign symptom 
 bulge soft mass belly 
 coarse dull-looking facial feature 
 delay failure growth development 
 dry flaky skin brittle fingernail 
 hoarseness large tongue bulge soft mass belly coarse dull-looking facial feature delay failure growth development dry flaky skin brittle fingernail hoarseness large tongue late sign symptom 
 depression fatigue irritability 
 sensitivity cold 
 learning speech behavior problem 
 constipation 
 delay sexual development 
 swelling body slow heartbeat trouble breathing depression fatigue irritability sensitivity cold learning speech behavior problem constipation delay sexual development swelling body slow heartbeat trouble breathing","['signs', 'symptoms', 'acquired hypothyroidism', ""child's"", 'age', 'early signs', 'symptoms', 'bulging soft mass', 'belly', 'dull-looking', 'delay', 'failure', 'growth', 'development', 'dry', 'flaky skin', 'brittle fingernails', 'hoarseness', 'tongue', 'belly coarse', 'dull-looking', 'delay', 'failure', 'growth', 'development dry', 'flaky skin', 'brittle fingernails', 'hoarseness', 'tongue', 'signs', 'symptoms', 'depression', 'fatigue', 'irritability', 'sensitivity', 'cold', 'speech', 'behavior problems', 'constipation', 'delay', 'sexual development', 'swelling', 'whole body', 'very slow heartbeat', 'breathing depression', 'fatigue', 'irritability', 'sensitivity', 'cold learning', 'speech', 'behavior problems constipation', 'delay', 'sexual development', 'swelling', 'whole body', 'very slow heartbeat']"
acquired von willebrand syndrome,"Bleeding too much or too long from wounds, after surgery, or after having a tooth pulled Bleeding from the gums or nose that happens often Bowel movements that are black or dark Urine that is pink or red Heavy monthly periods, or heavy bleeding when giving birth",drugs-com,"bleeding too much or too long from wounds, after surgery, or after having a tooth pulled bleeding from the gums or nose that happens often bowel movements that are black or dark urine that is pink or red heavy monthly periods, or heavy bleeding when giving birth",bleed long wound surgery have tooth pull bleeding gum nose happen bowel movement black dark urine pink red heavy monthly period heavy bleeding give birth,"['bleeding', 'wounds', 'surgery', 'tooth pulled bleeding', 'gums', 'nose', 'bowel movements', 'black', 'dark', 'urine', 'pink', 'red heavy monthly', 'periods', 'heavy bleeding', 'birth']"
acromegaly,"Signs and symptoms may develop slowly and get worse over time. You may have any of the following: Swelling in your hands or feet A large forehead, a jaw that sticks out, or teeth with large spaces Rough, thick, oily skin, or skin tags Heavy sweating Severe headaches Joint or bone pain, muscle weakness, or getting tired easily Problems with your vision",drugs-com,"signs and symptoms may develop slowly and get worse over time. you may have any of the following: swelling in your hands or feet a large forehead, a jaw that sticks out, or teeth with large spaces rough, thick, oily skin, or skin tags heavy sweating severe headaches joint or bone pain, muscle weakness, or getting tired easily problems with your vision",sign symptom develop slowly bad time following swell hand foot large forehead jaw stick tooth large space rough thick oily skin skin tag heavy sweat severe headache joint bone pain muscle weakness get tired easily problem vision,"['signs', 'symptoms', 'worse', 'time', 'swelling', 'hands', 'feet', 'jaw', 'sticks', 'teeth', 'spaces rough', 'thick', 'oily skin', 'skin', 'tags', 'heavy sweating severe', 'headaches joint', 'bone pain', 'muscle weakness', 'tired', 'problems', 'vision']"
acromioclavicular separation,Pain Abnormally shaped shoulder Lump on top of the shoulder,drugs-com,pain abnormally shaped shoulder lump on top of the shoulder,pain abnormally shape shoulder lump shoulder,"['pain', 'shaped shoulder lump', 'shoulder']"
actinic keratosis,"AK may occur as a single sore or as many sores of different sizes. Most of these bumps are found on the head, neck, or arms. You may have dry, scaly, or rough skin sores. The sores may be pink, red, brown, or the same color as your skin. Your sores may become hard, crusty, and wartlike. The sores may become itchy or painful. They may bleed when touched.",drugs-com,"ak may occur as a single sore or as many sores of different sizes. most of these bumps are found on the head, neck, or arms. you may have dry, scaly, or rough skin sores. the sores may be pink, red, brown, or the same color as your skin. your sores may become hard, crusty, and wartlike. the sores may become itchy or painful. they may bleed when touched.",ak occur single sore sore different size bump find head neck arm dry scaly rough skin sore sore pink red brown color skin sore hard crusty wartlike sore itchy painful bleed touch,"['single sore', 'sores', 'sizes', 'bumps', 'head', 'neck', 'arms', 'dry', 'scaly', 'rough skin sores', 'sores', 'pink', 'red', 'brown', 'color', 'skin', 'sores', 'hard', 'crusty', 'wartlike', 'sores', 'itchy', 'painful', 'bleed']"
acute bronchitis,"Cough that lasts up to 3 weeks Runny or stuffy nose Hoarseness, sore throat Fever Feeling more tired than usual, and body aches Wheezing or pain when you breathe or cough",drugs-com,"cough that lasts up to 3 weeks runny or stuffy nose hoarseness, sore throat fever feeling more tired than usual, and body aches wheezing or pain when you breathe or cough",cough last 3 week runny stuffy nose hoarseness sore throat fever feel tired usual body ache wheeze pain breathe cough,"['cough', 'weeks', 'runny', 'stuffy nose hoarseness', 'sore throat fever', 'tired', 'usual', 'body aches', 'wheezing', 'pain', 'breathe', 'cough']"
acute bronchitis in children,"Cough that lasts up to 3 weeks, stuffy nose Hoarseness, sore throat Fever, body aches, and chills Feeling more tired than usual Wheezing or pain when your child breathes or coughs Headache",drugs-com,"cough that lasts up to 3 weeks, stuffy nose hoarseness, sore throat fever, body aches, and chills feeling more tired than usual wheezing or pain when your child breathes or coughs headache",cough last 3 week stuffy nose hoarseness sore throat fever body ache chill feel tired usual wheezing pain child breathe cough headache,"['cough', 'weeks', 'stuffy nose hoarseness', 'sore throat fever', 'body aches', 'chills feeling', 'tired', 'wheezing', 'pain', 'child', 'coughs headache']"
acute chest syndrome,Chest pain Fever Shortness of breath Fast breathing Cough,drugs-com,chest pain fever shortness of breath fast breathing cough,chest pain fever shortness breath fast breathing cough,"['chest pain fever shortness', 'breath fast breathing cough']"
acute coronary syndrome,"Chest pain or discomfort, including squeezing, crushing, pressure, tightness, or heaviness Pain or discomfort in your arms, shoulders, neck, back, or jaw Heartburn, nausea, or vomiting Abdominal pain Shortness of breath Sweating, weakness, or fainting",drugs-com,"chest pain or discomfort, including squeezing, crushing, pressure, tightness, or heaviness pain or discomfort in your arms, shoulders, neck, back, or jaw heartburn, nausea, or vomiting abdominal pain shortness of breath sweating, weakness, or fainting",chest pain discomfort include squeeze crushing pressure tightness heaviness pain discomfort arm shoulder neck jaw heartburn nausea vomiting abdominal pain shortness breath sweating weakness fainting,"['chest pain', 'discomfort', 'squeezing', 'crushing', 'pressure', 'tightness', 'heaviness pain', 'discomfort', 'shoulders', 'neck', 'back', 'jaw heartburn', 'nausea', 'vomiting abdominal pain', 'breath sweating', 'weakness', 'fainting']"
acute delirium,"Your symptoms may come and go quickly. You may feel better at times and worse at other times. You or someone close to you may notice any of the following: Fast mood changes, being easily angered, restless, or excited Confusion, such as where you are or what day it is Memory problems, such as forgetting who someone is or things that have just been said False beliefs about yourself and the area around you (delusions) Hearing, seeing, smelling, or feeling things that are not real (hallucinations) Trouble paying attention, talking, and thinking Feeling lazy or sleepy, or trouble staying asleep through the night Not caring about what happens around you, or not wanting to eat Slow to think, move, or respond to people",drugs-com,"your symptoms may come and go quickly. you may feel better at times and worse at other times. you or someone close to you may notice any of the following: fast mood changes, being easily angered, restless, or excited confusion, such as where you are or what day it is memory problems, such as forgetting who someone is or things that have just been said false beliefs about yourself and the area around you (delusions) hearing, seeing, smelling, or feeling things that are not real (hallucinations) trouble paying attention, talking, and thinking feeling lazy or sleepy, or trouble staying asleep through the night not caring about what happens around you, or not wanting to eat slow to think, move, or respond to people",symptom come quickly feel well time bad time close notice following fast mood change easily angered restless excited confusion day memory problem forget thing say false belief area delusion hearing see smell feel thing real hallucination trouble pay attention talking think feel lazy sleepy trouble stay asleep night care happen want eat slow think respond people,"['symptoms', 'quickly', 'times', 'worse', 'fast mood changes', 'restless', 'excited', 'confusion', 'day', 'memory problems', 'forgetting', 'someone', 'false beliefs', 'area', 'seeing', 'smelling', 'hallucinations', 'talking', 'lazy', 'sleepy', 'staying asleep', 'night', 'caring', 'slow', 'people']"
acute dental trauma,"A tooth that is cracked, chipped, loose, out of place, or missing A sharp or rough edge on your tooth Bleeding from your gums, lips, face, or mouth Trouble moving your jaw or mouth A change in the way your teeth fit together when you close your mouth",drugs-com,"a tooth that is cracked, chipped, loose, out of place, or missing a sharp or rough edge on your tooth bleeding from your gums, lips, face, or mouth trouble moving your jaw or mouth a change in the way your teeth fit together when you close your mouth",tooth crack chipped loose place miss sharp rough edge tooth bleed gum lip face mouth trouble move jaw mouth change way tooth fit close mouth,"['tooth', 'cracked', 'chipped', 'loose', 'sharp', 'rough edge', 'tooth bleeding', 'gums', 'lips', 'face', 'mouth', 'mouth', 'teeth', 'fit', 'mouth']"
acute dental trauma in children,"A tooth that is cracked, chipped, loose, out of place, or missing A sharp or rough edge on your child's tooth Bleeding from your child's gums, lips, face, or mouth Trouble moving the jaw or mouth A change in the way your child's teeth fit together when he or she closes his or her mouth",drugs-com,"a tooth that is cracked, chipped, loose, out of place, or missing a sharp or rough edge on your child's tooth bleeding from your child's gums, lips, face, or mouth trouble moving the jaw or mouth a change in the way your child's teeth fit together when he or she closes his or her mouth",tooth crack chipped loose place miss sharp rough edge child tooth bleed child gum lip face mouth trouble move jaw mouth change way child tooth fit close mouth,"['tooth', 'cracked', 'chipped', 'loose', 'sharp', 'rough edge', ""child's"", 'tooth bleeding', ""child's"", 'gums', 'lips', 'face', 'mouth', 'jaw', 'mouth', ""child's"", 'teeth', 'mouth']"
acute diarrhea,"You may have 3 or more episodes of diarrhea. It may be hard to control your diarrhea. You may also have any of the following: Fever and chills Headache or abdominal pain Nausea and vomiting Symptoms of dehydration such as thirst, decreased urination, dry skin, sunken eyes, or fast, pounding heartbeat",drugs-com,"you may have 3 or more episodes of diarrhea. it may be hard to control your diarrhea. you may also have any of the following: fever and chills headache or abdominal pain nausea and vomiting symptoms of dehydration such as thirst, decreased urination, dry skin, sunken eyes, or fast, pounding heartbeat",3 episode diarrhea hard control diarrhea following fever chill headache abdominal pain nausea vomiting symptom dehydration thirst decrease urination dry skin sink eye fast pound heartbeat,"['episodes', 'diarrhea', 'control', 'diarrhea', 'fever', 'chills headache', 'abdominal pain', 'nausea', 'vomiting symptoms', 'dehydration', 'decreased urination', 'dry skin', 'sunken eyes', 'fast', 'pounding', 'heartbeat']"
acute diarrhea in children,"Your child may have several loose bowel movements throughout the day. He or she may also have any of the following: A rash Abdominal pain Fever Nausea and vomiting Loss of appetite Symptoms of dehydration such as dry mouth and lips, crying without tears, dark yellow urine, and urinating little or not at all",drugs-com,"your child may have several loose bowel movements throughout the day. he or she may also have any of the following: a rash abdominal pain fever nausea and vomiting loss of appetite symptoms of dehydration such as dry mouth and lips, crying without tears, dark yellow urine, and urinating little or not at all",child loose bowel movement day following rash abdominal pain fever nausea vomiting loss appetite symptom dehydration dry mouth lip crying tear dark yellow urine urinate little,"['child', 'loose bowel', 'movements', 'day', 'rash', 'abdominal pain', 'nausea', 'vomiting loss of appetite', 'symptoms', 'dehydration', 'dry mouth', 'lips', 'crying', 'tears', 'dark yellow', 'urine', 'urinating']"
acute graft versus host disease,"Symptoms may be mild to severe. You may have any of the following: A skin rash, itching, or areas of red skin Yellow skin or whites of your eyes Abdominal pain or loss of appetite Diarrhea, nausea, or vomiting",drugs-com,"symptoms may be mild to severe. you may have any of the following: a skin rash, itching, or areas of red skin yellow skin or whites of your eyes abdominal pain or loss of appetite diarrhea, nausea, or vomiting",symptom mild severe following skin rash itching area red skin yellow skin white eye abdominal pain loss appetite diarrhea nausea vomiting,"['symptoms', 'mild', 'severe', 'skin rash', 'itching', 'red skin yellow skin', 'whites', 'eyes', 'abdominal pain', 'loss of appetite diarrhea', 'nausea', 'vomiting']"
acute hypothermia,"Mild: Symptoms include shivering, fast breathing, and a fast heartbeat. You may feel sleepy, clumsy, and confused. A cold sweat may begin. The skin on your hands and feet may start to become pale or blue. Moderate: Shivering stops and your breathing slows. Your heart slows and may start to beat out of rhythm. Your skin may look swollen, blue, or gray. Your reflexes become slower. Muscles may become tight and hard to move. You may lose consciousness. Severe: Movement, breathing, and heartbeat slow and begin to stop.",drugs-com,"mild: symptoms include shivering, fast breathing, and a fast heartbeat. you may feel sleepy, clumsy, and confused. a cold sweat may begin. the skin on your hands and feet may start to become pale or blue. moderate: shivering stops and your breathing slows. your heart slows and may start to beat out of rhythm. your skin may look swollen, blue, or gray. your reflexes become slower. muscles may become tight and hard to move. you may lose consciousness. severe: movement, breathing, and heartbeat slow and begin to stop.",mild symptom include shivering fast breathing fast heartbeat feel sleepy clumsy confuse cold sweat begin skin hand foot start pale blue moderate shiver stop breathing slow heart slow start beat rhythm skin look swollen blue gray reflex slow muscle tight hard lose consciousness severe movement breathing heartbeat slow begin stop,"['mild', 'symptoms', 'shivering', 'fast breathing', 'fast heartbeat', 'sleepy', 'clumsy', 'cold sweat', 'skin', 'hands', 'feet', 'pale', 'blue', 'moderate', 'shivering', 'stops', 'breathing', 'slows', 'heart', 'beat', 'rhythm', 'skin', 'swollen', 'blue', 'gray', 'reflexes', 'slower', 'muscles', 'tight', 'consciousness', 'severe', 'movement', 'breathing', 'heartbeat', 'slow', 'stop']"
acute kidney injury,"You may not have any symptoms with early or mild AKI. As AKI progresses, you may have any of the following: Decrease in the amount of urine or no urination Swelling in your arms, legs, or feet Weakness, drowsiness, or no appetite Nausea, flank pain, muscle twitching or muscle cramps Itchy skin, or your breath or body smells like urine Behavior changes, confusion, disorientation, or seizures",drugs-com,"you may not have any symptoms with early or mild aki. as aki progresses, you may have any of the following: decrease in the amount of urine or no urination swelling in your arms, legs, or feet weakness, drowsiness, or no appetite nausea, flank pain, muscle twitching or muscle cramps itchy skin, or your breath or body smells like urine behavior changes, confusion, disorientation, or seizures",symptom early mild aki aki progress following decrease urine urination swelling arm leg foot weakness drowsiness appetite nausea flank pain muscle twitching muscle cramp itchy skin breath body smell like urine behavior change confusion disorientation seizure,"['symptoms', 'early', 'mild aki', 'decrease', 'amount', 'urine', 'no urination swelling', 'arms', 'legs', 'feet weakness', 'drowsiness', 'no appetite', 'flank pain', 'muscle twitching', 'muscle cramps itchy skin', 'breath', 'body smells', 'urine behavior', 'changes', 'confusion', 'disorientation', 'seizures']"
acute liver failure,"Yellowing of your skin or whites of your eyes Pain in the upper right side of your abdomen Itchy skin and a swollen abdomen, feet, and legs Changes in mood, confusion, or increased sleepiness Bleeding and bruising easily Dark bowel movements and decreased or dark urine Loss of appetite, nausea, and vomiting Fatigue (being mentally and physically tired) and weakness",drugs-com,"yellowing of your skin or whites of your eyes pain in the upper right side of your abdomen itchy skin and a swollen abdomen, feet, and legs changes in mood, confusion, or increased sleepiness bleeding and bruising easily dark bowel movements and decreased or dark urine loss of appetite, nausea, and vomiting fatigue (being mentally and physically tired) and weakness",yellowing skin white eye pain upper right abdoman itchy skin swollen abdoman foot leg change mood confusion increase sleepiness bleeding bruise easily dark bowel movement decrease dark urine loss appetite nausea vomiting fatigue mentally physically tired weakness,"['yellowing', 'skin', 'whites', 'eyes pain', 'upper right', 'abdomen itchy', 'skin', 'swollen abdomen', 'feet', 'legs', 'changes', 'mood', 'confusion', 'increased', 'sleepiness bleeding', 'bruising', 'dark bowel', 'movements', 'decreased', 'dark', 'urine loss', 'nausea', 'vomiting fatigue', 'mentally', 'physically tired', 'weakness']"
acute lymphocytic leukemia,"Fever or night sweats Easy bleeding or bruising Bone or rib pain Frequent illnesses, such as colds, coughs, or the flu Swollen lymph nodes in your neck, armpits, or groin Shortness of breath or feeling very tired Weight loss without trying or loss of appetite",drugs-com,"fever or night sweats easy bleeding or bruising bone or rib pain frequent illnesses, such as colds, coughs, or the flu swollen lymph nodes in your neck, armpits, or groin shortness of breath or feeling very tired weight loss without trying or loss of appetite",fever night sweat easy bleeding bruising bone rib pain frequent illness cold cough flu swollen lymph node neck armpit groin shortness breath feel tired weight loss try loss appetite,"['fever', 'night sweats', 'bleeding', 'bruising bone', 'rib pain', 'frequent', 'illnesses', 'colds', 'coughs', 'swollen', 'lymph nodes', 'neck', 'armpits', 'groin shortness of breath', 'weight loss', 'loss of appetite']"
